;index;y;x;osmid;ref;highway;lon;lat;geometry;loc_x;loc_y;loc;stop_type_index
40;2203992967;-4292972.81529521;970821.0061460367;2203992967; 96 ;tram_stop;144.9748512;-37.7984075;POINT (970821.0061460367 -4292972.81529521);2706.11487099831;1737.9132044157013;{2706.11487099831,1737.9132044157013};0
41;2203992969;-4292876.358530264;970835.2748396926;2203992969; 96 ;tram_stop;144.9749167;-37.7975355;POINT (970835.2748396926 -4292876.358530264);2720.383564654272;1641.456439469941;{2720.383564654272,1641.456439469941};0
42;2203993230;-4292583.654462637;970903.7136879023;2203993230; 96 ;tram_stop;144.9753982;-37.7948697;POINT (970903.7136879023 -4292583.654462637);2788.822412863956;1348.752371842973;{2788.822412863956,1348.752371842973};0
43;2203993231;-4292614.694557645;970900.2935001388;2203993231; 96 ;tram_stop;144.9753903;-37.7951494;POINT (970900.2935001388 -4292614.694557645);2785.4022251004353;1379.7924668509513;{2785.4022251004353,1379.7924668509513};0
44;2203994162;-4292274.228210763;970978.3315691395;2203994162; 96 ;tram_stop;144.9759327;-37.7920498;POINT (970978.3315691395 -4292274.228210763);2863.440294101136;1039.3261199686676;{2863.440294101136,1039.3261199686676};0
45;2203994168;-4291887.569705206;971066.7307242999;2203994168; 96 ;tram_stop;144.9765461;-37.7885298;POINT (971066.7307242999 -4291887.569705206);2951.839449261548;652.6676144115627;{2951.839449261548,652.6676144115627};0
46;2203994169;-4291917.931382741;971063.1206395474;2203994169; 96 ;tram_stop;144.9765354;-37.7888036;POINT (971063.1206395474 -4291917.931382741);2948.229364508996;683.0292919464409;{2948.229364508996,683.0292919464409};0
47;2203994749;-4291527.7629316775;971152.4532842725;2203994749; 96 ;tram_stop;144.9771558;-37.7852515;POINT (971152.4532842725 -4291527.762931678);3037.562009234098;292.860840883106;{3037.562009234098,292.860840883106};0
48;2203994750;-4291564.171237647;971147.3976177416;2203994750; 96 ;tram_stop;144.9771348;-37.7855804;POINT (971147.3976177416 -4291564.171237647);3032.5063427032437;329.26914685219526;{3032.5063427032437,329.26914685219526};0
49;2204670477;-4292695.074523931;971206.5746734812;2204670477; 11 ;tram_stop;144.9789142;-37.7956274;POINT (971206.5746734812 -4292695.074523931);3091.6833984428085;1460.1724331369624;{3091.6833984428085,1460.1724331369624};0
50;2204670481;-4292681.348072397;971212.8360501629;2204670481; 11 ;tram_stop;144.9789711;-37.7955;POINT (971212.8360501629 -4292681.348072397);3097.944775124546;1446.4459816021845;{3097.944775124546,1446.4459816021845};0
51;2204671848;-4292980.275956648;971145.6132058015;2204671848; 11 ;tram_stop;144.9785095;-37.7982204;POINT (971145.6132058015 -4292980.275956648);3030.721930763102;1745.373865853995;{3030.721930763102,1745.373865853995};0
52;2204671849;-4293005.244217726;971136.8292988858;2204671849; 11 ;tram_stop;144.9784353;-37.7984501;POINT (971136.8292988858 -4293005.244217726);3021.9380238474114;1770.3421269319952;{3021.9380238474114,1770.3421269319952};0
53;2204674008;-4293224.2892356785;971087.5762161558;2204674008; 11 ;tram_stop;144.9780971;-37.8004435;POINT (971087.5762161558 -4293224.289235679);2972.684941117419;1989.3871448840946;{2972.684941117419,1989.3871448840946};0
54;2204674009;-4293235.354012688;971088.278655924;2204674009; 11 ;tram_stop;144.9781159;-37.8005417;POINT (971088.278655924 -4293235.354012688);2973.387380885659;2000.4519218932837;{2973.387380885659,2000.4519218932837};0
55;2204676925;-4293473.8924285695;971034.6168633044;2204676925; 11 ;tram_stop;144.9777473;-37.8027125;POINT (971034.6168633044 -4293473.892428569);2919.7255882660393;2238.990337775089;{2919.7255882660393,2238.990337775089};0
56;2204676933;-4293488.136562942;971028.2484209186;2204676933; 11 ;tram_stop;144.9776897;-37.8028446;POINT (971028.2484209186 -4293488.136562942);2913.3571458802326;2253.234472147189;{2913.3571458802326,2253.234472147189};0
57;2204678936;-4293819.492622145;970953.6400583481;2204678936; 11 ;tram_stop;144.9771769;-37.8058601;POINT (970953.6400583481 -4293819.492622145);2838.748783309711;2584.590531351045;{2838.748783309711,2584.590531351045};0
58;2204678937;-4293793.828870399;970962.6797109586;2204678937; 11 ;tram_stop;144.9772533;-37.805624;POINT (970962.6797109586 -4293793.828870399);2847.788435920258;2558.926779604517;{2847.788435920258,2558.926779604517};0
